STATE/UT,CRIME HEAD,Cases Pending Investigation from Previous Year,Cases reported during the year,No. of cases withdrawn by the Govt. during investigation,Cases not investigated or in which investigation was refused,Cases declared false on account of mistake of fact or of law,Cases in which chargesheets were laid,Cases in which charge-sheets were not laid but final report submitted during the year,Total cases (Chargesheeted + Final Report submitted),Cases pending investigation at the end of the year,Cases pending trial from the previous year,Cases sent for trial during the year,No. of cases withdrawn by the Govt.,Total cases for trial during the year,Cases compounded or withdrawn,Cases in which trials were completed,Cases convicted,Cases acquitted or discharged,Cases pending trial at the end of the year
KARNATAKA,SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KERALA,SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
SIKKIM,SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (STATES),SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
A & N ISLANDS,SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (ALL-INDIA),SATI PREVENTION ACT,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
ANDHRA PRADESH,IMMORAL TRAFFIC (PREVENTION) ACT,214,472,0,0,0,492,2,494,192,1065,492,0,1557,1,624,214,410,932
ARUNACHAL PRADESH,IMMORAL TRAFFIC (PREVENTION) ACT,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
ASSAM,IMMORAL TRAFFIC (PREVENTION) ACT,45,30,0,1,0,16,6,22,52,75,16,0,91,0,9,0,9,82
BIHAR,IMMORAL TRAFFIC (PREVENTION) ACT,36,35,0,0,0,26,6,32,39,126,26,0,152,0,15,3,12,137
CHHATTISGARH,IMMORAL TRAFFIC (PREVENTION) ACT,0,5,0,0,0,5,0,5,0,47,5,0,52,0,18,15,3,34
GOA,IMMORAL TRAFFIC (PREVENTION) ACT,15,40,0,0,0,9,1,10,45,49,9,0,58,0,4,2,2,54
GUJARAT,IMMORAL TRAFFIC (PREVENTION) ACT,4,44,0,0,0,33,0,33,15,594,33,0,627,0,5,0,5,622
HARYANA,IMMORAL TRAFFIC (PREVENTION) ACT,10,69,0,0,1,69,0,69,9,353,69,0,422,0,113,20,93,309
HIMACHAL PRADESH,IMMORAL TRAFFIC (PREVENTION) ACT,0,6,0,0,0,4,0,4,2,13,4,0,17,0,2,0,2,15
JAMMU & KASHMIR,IMMORAL TRAFFIC (PREVENTION) ACT,8,3,0,0,1,4,0,4,6,32,4,0,36,0,4,0,4,32
JHARKHAND,IMMORAL TRAFFIC (PREVENTION) ACT,3,12,0,0,0,9,0,9,6,19,9,0,28,0,2,1,1,26
KARNATAKA,IMMORAL TRAFFIC (PREVENTION) ACT,30,335,0,0,0,276,0,276,89,1339,276,0,1615,0,292,100,192,1323
KERALA,IMMORAL TRAFFIC (PREVENTION) ACT,23,210,0,0,0,219,0,219,14,833,219,0,1052,0,192,105,87,860
MADHYA PRADESH,IMMORAL TRAFFIC (PREVENTION) ACT,2,13,0,0,0,13,0,13,2,93,13,0,106,0,19,6,13,87
MAHARASHTRA,IMMORAL TRAFFIC (PREVENTION) ACT,718,366,0,0,0,328,3,331,753,3264,328,0,3592,4,55,20,35,3533
MANIPUR,IMMORAL TRAFFIC (PREVENTION) ACT,0,15,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
MEGHALAYA,IMMORAL TRAFFIC (PREVENTION) ACT,6,7,0,0,0,0,1,1,12,2,0,0,2,0,0,0,0,2
MIZORAM,IMMORAL TRAFFIC (PREVENTION) ACT,5,0,0,0,0,0,0,0,5,2,0,0,2,0,2,2,0,0
NAGALAND,IMMORAL TRAFFIC (PREVENTION) ACT,0,4,0,0,0,4,0,4,0,1,4,0,5,0,2,2,0,3
ODISHA,IMMORAL TRAFFIC (PREVENTION) ACT,14,24,0,0,0,20,0,20,18,115,20,0,135,0,18,1,17,117
PUNJAB,IMMORAL TRAFFIC (PREVENTION) ACT,40,86,0,0,0,68,0,68,58,172,68,0,240,0,47,11,36,193
RAJASTHAN,IMMORAL TRAFFIC (PREVENTION) ACT,4,99,0,0,0,96,1,97,6,574,96,0,670,0,36,20,16,634
SIKKIM,IMMORAL TRAFFIC (PREVENTION) ACT,2,0,0,0,0,2,0,2,0,4,2,0,6,0,6,4,2,0
TAMIL NADU,IMMORAL TRAFFIC (PREVENTION) ACT,101,500,0,0,0,333,0,333,268,507,333,0,840,0,238,153,85,602
TRIPURA,IMMORAL TRAFFIC (PREVENTION) ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,IMMORAL TRAFFIC (PREVENTION) ACT,5,31,0,0,0,32,0,32,4,141,32,0,173,0,17,13,4,156
UTTARAKHAND,IMMORAL TRAFFIC (PREVENTION) ACT,0,12,0,0,0,9,0,9,3,9,9,0,18,0,3,3,0,15
WEST BENGAL,IMMORAL TRAFFIC (PREVENTION) ACT,139,109,0,0,0,103,3,106,142,201,103,0,304,0,44,18,26,260
TOTAL (STATES),IMMORAL TRAFFIC (PREVENTION) ACT,1424,2528,0,1,2,2170,23,2193,1756,9631,2170,0,11801,5,1767,713,1054,10029
A & N ISLANDS,IMMORAL TRAFFIC (PREVENTION) ACT,6,2,0,0,0,6,0,6,2,6,6,0,12,0,0,0,0,12
CHANDIGARH,IMMORAL TRAFFIC (PREVENTION) ACT,1,0,0,0,0,1,0,1,0,37,1,0,38,0,4,0,4,34
D & N HAVELI,IMMORAL TRAFFIC (PREVENTION) ACT,1,2,0,0,0,3,0,3,0,8,3,0,11,0,0,0,0,11
DAMAN & DIU,IMMORAL TRAFFIC (PREVENTION) ACT,10,3,0,0,0,5,0,5,8,18,5,0,23,0,1,0,1,22
DELHI,IMMORAL TRAFFIC (PREVENTION) ACT,28,24,0,0,0,25,0,25,27,401,25,0,426,0,43,31,12,383
LAKSHADWEEP,IMMORAL TRAFFIC (PREVENTION) ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,IMMORAL TRAFFIC (PREVENTION) ACT,0,4,0,0,0,0,0,0,4,14,0,0,14,0,2,2,0,12
TOTAL (UTs),IMMORAL TRAFFIC (PREVENTION) ACT,46,35,0,0,0,40,0,40,41,484,40,0,524,0,50,33,17,474
TOTAL (ALL-INDIA),IMMORAL TRAFFIC (PREVENTION) ACT,1470,2563,0,1,2,2210,23,2233,1797,10115,2210,0,12325,5,1817,746,1071,10503
ANDHRA PRADESH,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,2,21,0,0,0,17,1,18,5,27,17,0,44,0,20,16,4,24
ARUNACHAL PRADESH,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,2,3,0,0,0,2,0,2,3,1,2,0,3,0,0,0,0,3
BIHAR,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,0,5,0,0,0,2,3,5,0,48,2,0,50,0,2,0,2,48
CHHATTISGARH,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,0,1,0,0,0,1,0,1,0,1,1,0,2,0,0,0,0,2
GOA,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,4
GUJARAT,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,0,0,0,0,0,0,0,0,0,77,0,0,77,0,7,4,3,70
HARYANA,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,0,2,0,0,0,2,0,2,0,0,2,0,2,0,0,0,0,2
HIMACHAL PRADESH,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2
JHARKHAND,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,3,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,3
KARNATAKA,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
KERALA,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,11,3,0,0,0,6,2,8,6,112,6,0,118,0,21,4,17,97
MADHYA PRADESH,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,0,2,0,0,0,2,0,2,0,56,2,0,58,0,2,0,2,56
MANIPUR,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1,1,0,0,0,1,0,1,1,2,1,0,3,0,0,0,0,3
PUNJAB,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,4
RAJASTHAN,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,0,62,0,0,0,59,1,60,2,628,59,0,687,0,57,44,13,630
SIKKIM,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,9,34,0,0,0,24,0,24,19,10,24,0,34,0,17,10,7,17
TRIPURA,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1,0,0,0,0,0,1,1,0,3,0,0,3,0,1,1,0,2
UTTARAKHAND,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,8,7,0,0,0,6,0,6,9,21,6,0,27,0,3,0,3,24
TOTAL (STATES),INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,39,141,0,0,1,122,8,130,49,999,122,0,1121,0,130,79,51,991
A & N ISLANDS,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
D & N HAVELI,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,4,0,0,0,0,0,0,0,4,5,0,0,5,0,0,0,0,5
LAKSHADWEEP,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
PUDUCHERRY,INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,5,0,0,0,0,0,0,0,5,7,0,0,7,0,1,0,1,6
TOTAL (ALL-INDIA),INDECENT REPRESENTATION OF WOMEN (PROHIBITION) ACT,44,141,0,0,1,122,8,130,54,1006,122,0,1128,0,131,79,52,997
ANDHRA PRADESH,DOWRY PROHIBITION ACT,760,2511,0,0,91,2076,41,2117,1063,2654,2076,0,4730,318,1144,31,1113,3268
ARUNACHAL PRADESH,DOWRY PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,DOWRY PROHIBITION ACT,57,41,0,0,0,29,4,33,65,187,29,0,216,0,8,1,7,208
BIHAR,DOWRY PROHIBITION ACT,1305,1353,0,0,276,1203,171,1374,1008,4745,1203,0,5948,145,506,115,391,5297
CHHATTISGARH,DOWRY PROHIBITION ACT,2,14,0,0,0,16,0,16,0,26,16,0,42,2,9,3,6,31
GOA,DOWRY PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,DOWRY PROHIBITION ACT,5,0,0,0,0,5,0,5,0,29,5,0,34,0,7,0,7,27
HARYANA,DOWRY PROHIBITION ACT,4,9,0,0,4,6,1,7,2,22,6,0,28,0,8,3,5,20
HIMACHAL PRADESH,DOWRY PROHIBITION ACT,0,0,0,0,0,0,0,0,0,15,0,0,15,0,0,0,0,15
JAMMU & KASHMIR,DOWRY PROHIBITION ACT,9,3,0,0,0,1,0,1,11,18,1,0,19,0,0,0,0,19
JHARKHAND,DOWRY PROHIBITION ACT,333,1066,0,0,14,654,92,746,639,920,654,0,1574,23,495,117,378,1056
KARNATAKA,DOWRY PROHIBITION ACT,269,1328,0,13,82,844,32,876,626,2713,844,0,3557,25,622,23,599,2910
KERALA,DOWRY PROHIBITION ACT,8,3,0,0,0,5,0,5,6,15,5,0,20,0,0,0,0,20
MADHYA PRADESH,DOWRY PROHIBITION ACT,0,101,0,0,0,100,0,100,1,205,100,0,305,1,32,11,21,272
MAHARASHTRA,DOWRY PROHIBITION ACT,3,33,0,0,0,32,0,32,4,327,32,0,359,0,51,3,48,308
MANIPUR,DOWRY PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,DOWRY PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,DOWRY PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DOWRY PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,DOWRY PROHIBITION ACT,807,1487,1,0,39,1312,41,1353,901,4154,1312,0,5466,0,829,72,757,4637
PUNJAB,DOWRY PROHIBITION ACT,5,1,0,0,0,1,0,1,5,12,1,0,13,0,0,0,0,13
RAJASTHAN,DOWRY PROHIBITION ACT,0,39,0,0,19,20,0,20,0,5,20,0,25,0,1,1,0,24
SIKKIM,DOWRY PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,DOWRY PROHIBITION ACT,84,277,0,0,18,267,5,272,71,568,267,0,835,0,318,212,106,517
TRIPURA,DOWRY PROHIBITION ACT,0,0,0,0,0,0,0,0,0,3,0,0,3,0,1,0,1,2
UTTAR PRADESH,DOWRY PROHIBITION ACT,10,505,0,0,23,247,63,310,182,580,247,0,827,1,124,73,51,702
UTTARAKHAND,DOWRY PROHIBITION ACT,0,0,0,0,0,0,0,0,0,5,0,0,5,0,2,0,2,3
WEST BENGAL,DOWRY PROHIBITION ACT,95,241,0,0,0,166,9,175,161,149,166,0,315,0,58,8,50,257
TOTAL (STATES),DOWRY PROHIBITION ACT,3756,9012,1,13,566,6984,459,7443,4745,17352,6984,0,24336,515,4215,673,3542,19606
A & N ISLANDS,DOWRY PROHIBITION ACT,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
CHANDIGARH,DOWRY PROHIBITION ACT,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
D & N HAVELI,DOWRY PROHIBITION ACT,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
DAMAN & DIU,DOWRY PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,DOWRY PROHIBITION ACT,30,15,0,0,0,2,3,5,40,81,2,0,83,0,5,4,1,78
LAKSHADWEEP,DOWRY PROHIBITION ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,DOWRY PROHIBITION ACT,8,11,0,0,1,7,0,7,11,33,7,0,40,0,5,0,5,35
TOTAL (UTs),DOWRY PROHIBITION ACT,39,26,0,0,1,9,3,12,52,116,9,0,125,0,10,4,6,115
TOTAL (ALL-INDIA),DOWRY PROHIBITION ACT,3795,9038,1,13,567,6993,462,7455,4797,17468,6993,0,24461,515,4225,677,3548,19721
ANDHRA PRADESH,TOTAL CRIMES ,9170,28171,0,0,2499,22524,1070,23594,11248,43556,22524,1,66079,5133,15543,2086,13457,45403
ARUNACHAL PRADESH,TOTAL CRIMES ,130,201,0,0,0,127,39,166,165,1454,127,0,1581,13,95,24,71,1473
ASSAM,TOTAL CRIMES ,13106,13544,0,306,722,7524,2985,10509,15113,19623,7524,0,27147,244,4153,430,3723,22750
BIHAR,TOTAL CRIMES ,9186,11229,0,0,2559,8970,1384,10354,7502,26281,8970,0,35251,446,3835,682,3153,30970
CHHATTISGARH,TOTAL CRIMES ,481,4228,0,6,21,4108,67,4175,507,18296,4108,0,22404,531,3466,1050,2416,18407
GOA,TOTAL CRIMES ,122,200,0,1,0,82,21,103,218,380,82,0,462,2,47,6,41,413
GUJARAT,TOTAL CRIMES ,1295,9561,4,17,80,9017,311,9328,1427,59942,9017,0,68959,259,4445,199,4246,64255
HARYANA,TOTAL CRIMES ,1446,6002,0,0,1424,4314,400,4714,1310,12219,4314,0,16533,46,4204,852,3352,12283
HIMACHAL PRADESH,TOTAL CRIMES ,286,912,0,0,172,745,34,779,247,3795,745,1,4539,106,533,72,461,3900
JAMMU & KASHMIR,TOTAL CRIMES ,908,3328,0,2,682,2639,37,2676,876,12110,2639,0,14749,320,2178,219,1959,12251
JHARKHAND,TOTAL CRIMES ,2356,4536,0,0,150,3234,535,3769,2973,5838,3234,0,9072,118,2566,764,1802,6388
KARNATAKA,TOTAL CRIMES ,2613,10366,0,52,733,8174,282,8456,3738,21392,8174,40,29526,317,5820,378,5442,23389
KERALA,TOTAL CRIMES ,3313,10930,0,3,492,10377,223,10600,3148,38226,10377,0,48603,234,4649,610,4039,43720
MADHYA PRADESH,TOTAL CRIMES ,1147,16832,0,0,77,16687,170,16857,1045,48683,16687,39,65331,3149,10275,3181,7094,51907
MAHARASHTRA,TOTAL CRIMES ,6542,16353,0,19,330,14746,429,15175,7371,117765,14746,0,132511,1601,10808,598,10210,120102
MANIPUR,TOTAL CRIMES ,967,304,0,0,0,25,138,163,1108,99,25,0,124,1,2,0,2,121
MEGHALAYA,TOTAL CRIMES ,671,255,0,0,0,147,31,178,748,903,147,0,1050,2,26,9,17,1022
MIZORAM,TOTAL CRIMES ,45,199,0,0,0,187,4,191,53,181,187,0,368,0,154,118,36,214
NAGALAND,TOTAL CRIMES ,12,51,0,0,0,41,6,47,16,44,41,0,85,0,26,22,4,59
ODISHA,TOTAL CRIMES ,4971,11988,1,1,569,10628,229,10857,5531,40646,10628,0,51274,0,5698,653,5045,45576
PUNJAB,TOTAL CRIMES ,1782,3238,0,0,413,1842,288,2130,2477,6280,1842,0,8122,3,1330,388,942,6789
RAJASTHAN,TOTAL CRIMES ,1081,21106,0,2,9305,11388,174,11562,1318,47082,11388,0,58470,1738,7197,2761,4436,49535
SIKKIM,TOTAL CRIMES ,34,68,0,0,0,51,21,72,30,144,51,0,195,0,26,11,15,169
TAMIL NADU,TOTAL CRIMES ,4213,7192,0,0,844,4967,721,5688,4873,13073,4967,0,18040,2,3671,1060,2611,14367
TRIPURA,TOTAL CRIMES ,231,1559,0,0,7,1415,108,1523,260,4495,1415,558,5352,150,1839,279,1560,3363
UTTAR PRADESH,TOTAL CRIMES ,2851,23569,0,0,1296,15262,4685,19947,5177,44406,15262,0,59668,736,10953,5757,5196,47979
UTTARAKHAND,TOTAL CRIMES ,160,1067,0,0,58,794,194,988,181,3209,794,0,4003,56,867,607,260,3080
WEST BENGAL,TOTAL CRIMES ,22180,30942,0,6,163,30627,1858,32485,20468,132208,30627,0,162835,109,7737,607,7130,154989
TOTAL (STATES),TOTAL CRIMES ,91299,237931,5,415,22596,190642,16444,207086,99128,722330,190642,639,912333,15316,112143,23423,88720,784874
A & N ISLANDS,TOTAL CRIMES ,43,49,0,0,0,42,5,47,45,450,42,0,492,0,21,5,16,471
CHANDIGARH,TOTAL CRIMES ,140,241,0,0,18,190,15,205,158,466,190,0,656,0,127,23,104,529
D & N HAVELI,TOTAL CRIMES ,28,16,1,0,0,20,8,28,15,101,20,0,121,0,19,3,16,102
DAMAN & DIU,TOTAL CRIMES ,17,11,0,0,0,14,0,14,14,38,14,0,52,4,9,1,8,39
DELHI,TOTAL CRIMES ,8263,5959,99,24,808,3061,1169,4230,9061,12479,3061,0,15540,0,3047,1176,1871,12493
LAKSHADWEEP,TOTAL CRIMES ,0,2,0,0,0,0,0,0,2,4,0,0,4,3,1,0,1,0
PUDUCHERRY,TOTAL CRIMES ,39,61,0,2,4,52,1,53,41,517,52,0,569,0,57,9,48,512
TOTAL (UTs),TOTAL CRIMES ,8530,6339,100,26,830,3379,1198,4577,9336,14055,3379,0,17434,7,3281,1217,2064,14146
TOTAL (ALL-INDIA),TOTAL CRIMES ,99829,244270,105,441,23426,194021,17642,211663,108464,736385,194021,639,929767,15323,115424,24640,90784,799020
