Year,State/UTs,Acute Diarrhoeal Diseases - Cases,Acute Diarrhoeal Diseases - Deaths,Malaria - Cases,Malaria - Deaths,Acute Respiaratory Infection - Cases,Acute Respiaratory Infection - Deaths,Japanese Encephalitis - Cases,Japanese Encephalitis - Deaths,Viral Hepatitis - Cases,Viral Hepatitis - Deaths
2011(P),GRAND TOTAL,10231049,1269,1278760,463,26300208,2492,8249,1169,94402,520
2011(P),Andhra Pradesh,2235614,107,39559,5,3089290,236,73,1,11050,61
2011(P),Arunachal Pradesh,32228,11,10961,NA,48602,9,NULL,NULL,636,4
2011(P),Assam,96816,16,47397,42,314824,NA,1319,250,2557,25
2011(P),Bihar,130276,NULL,2390,0,87486,NULL,821,197,202,NULL
2011(P),Chhattisgarh,64575,5,131179,18,155743,18,NULL,NULL,139,1
2011(P),Delhi,102983,62,413,NA,198541,102,9,NULL,8347,68
2011(P),Goa,15146,2,1231,1,61029,6,91,1,118,NA
2011(P),Gujarat,367450,0,86005,15,604076,NA,NULL,NULL,4328,NA
2011(P),Haryana,224223,21,33345,1,1275035,48,90,14,2557,2
2011(P),Himachal Pradesh,310227,51,247,NA,1484149,154,NULL,NULL,1248,10
2011(P),Jammu & Kashmir,544711,0,1031,NA,528409,6,NULL,NULL,5129,2
2011(P),Jharkhand,98258,1,152061,16,205496,5,303,19,384,2
2011(P),Karnataka,591989,49,24487,0,1629997,182,397,0,6049,8
2011(P),Kerala,260938,0,1339,2,5034506,128,88,6,5336,7
2011(P),Madhya Pradesh,290705,92,89304,71,578783,182,35,0,3851,12
2011(P),Maharashtra,507046,4,96632,114,571947,28,NULL,9,5994,30
2011(P),Manipur,17605,39,714,0,25441,55,11,0,229,NA
2011(P),Meghalaya,148801,20,24507,47,295146,5,NULL,NULL,87,3
2011(P),Mizoram,16192,11,8849,26,26817,33,NULL,NULL,812,14
2011(P),Nagaland,30458,1,3363,2,48566,NA,44,6,64,NA
2011(P),Orissa,632493,143,294759,73,1372208,269,NULL,NULL,3272,89
2011(P),Punjab,190022,15,2693,NA,656544,10,NULL,NULL,5041,12
2011(P),Rajasthan,227571,7,46457,5,1089640,62,NULL,NULL,967,0
2011(P),Sikkim,44094,2,51,NA,92736,12,NULL,NULL,484,0
2011(P),Tamil Nadu,210074,24,22139,0,2410214,22,762,29,5940,0
2011(P),Tripura,109777,83,14295,9,160438,135,NULL,NULL,404,0
2011(P),Uttar Pradesh,554770,185,56438,NA,1183992,196,3492,579,7749,28
2011(P),Uttarakhand,79643,26,1162,2,130283,56,0,NA,3143,19
2011(P),West Bengal,1854651,288,66465,14,1991660,528,714,58,5480,105
2011(P),A & N Islands,19679,0,5939,NA,69151,3,0,NULL,208,5
2011(P),Chandigarh,42615,NULL,582,NA,49649,NULL,NULL,NULL,1309,NULL
2011(P),D & N Haveli,81322,1,12331,NA,104447,NA,NULL,NULL,269,0
2011(P),Daman & Diu,12638,NA,268,NA,42350,NA,NULL,NULL,484,NA
2011(P),Lakshadweep,4693,NA,15,NA,28129,NA,NULL,NULL,15,1
2011(P),Puducherry,80766,3,152,NA,654884,2,NULL,NULL,520,12