PLAYER,Salary,Tier
MS Dhoni,1,1
Virat Kohli,1,1
Ajinkya Rahan,1,1
Ravi Ashwin,1,1
Suresh Raina,0.5,2
Ambati Rayudu,0.5,2
Rohit Sharma,0.5,2
Murali Vijay,0.5,2
Shikhar Dhawan,0.5,2
Bhuvneshwar Kumar,0.5,2
Umesh Yadav,0.5,2
Ishant Sharma,0.5,2
Cheteshwar Pujara,0.5,2
Mohammed Shami,0.5,2
Amit Mishra,0.25,3
Axar Patel,0.25,3
Stuart Binny,0.25,3
Wriddhiman Saha,0.25,3
Mohit Sharma,0.25,3
Vinay Kumar,0.25,3
Mohit Sharma,0.25,3
Varun Aaron,0.25,3
Karn Sharma,0.25,3
Ravindra Jadeja,0.25,3
KL Rahul,0.25,3
Dhawal Kulkarni,0.25,3
Harbhajan Singh,0.25,3
S Aravind,0.25,3