year,british_bengal,native_bengal,total_bengal,british_madras,native_madras,total_madras,british_bombay,native_bombay,total_bombay
1840,16303,102055,118358,12371,59711,72082,6930,38073,45003
1841,18873,106907,125780,11979,63183,75162,7554,42526,50080
1842,21114,109078,130192,12183,61378,73561,8816,42168,50984
1843,22007,113762,135769,14113,63804,77917,10606,43381,53987
1844,21645,112034,133679,14078,62547,76625,10517,41999,52516
1845,21783,133525,155308,14354,61953,76307,9974,44832,54806
1846,20445,133561,154006,12794,63217,76011,10775,43955,54730
1847,20898,132848,153746,12775,60904,73679,10650,53721,64371
1848,20596,114577,135173,12650,54806,67456,11024,51508,62532
1849,22727,124917,147644,12031,53697,65728,13135,50516,63651
1850,26803,126910,153713,11662,53867,65529,10815,47671,58486
1851,27159,138142,165301,11584,53667,65251,10665,48312,58977
1852,26089,139807,165896,11687,53714,65401,10933,45552,56485
1853,24986,139246,164232,11370,53787,65157,10577,45312,55889
1854,26531,138674,165205,11172,53254,64426,9443,44921,54364
1855,25344,139162,164506,10927,53031,63958,9822,44898,54720
1856,24594,137109,161703,10352,53201,63553,10158,44911,55069
1857,24366,135767,160133,10726,51244,61970,10430,45213,55643
1859,62167,82687,144854,17091,67141,84232,27032,46415,73447
1860,57778,91898,149676,17851,78440,96291,17237,42664,59901
1861,51791,86620,138411,18257,63727,81984,14246,34325,48571
1862,47912,39210,87122,16421,55687,72108,13841,31016,44857
1863,46614,40945,87559,15113,50964,66077,14358,28866,43224
1864,45283,42938,88221,15583,50131,65714,14095,27991,42086
1865,42128,43796,85924,16002,46693,62695,13750,27826,41576